fileName,resortName,unitType,group,unitGroup,tag,ext,alt
1,bj,,,,,,
2,bj,bj-4,1,0,,,
3,bj,,,,,,
4,bj,,1,,,,
5,bj,bj-1,0,10,,,
6,bj,bj-1,,0,,,
7,bj,bj-1,,10,,,
8,bj,bj-1,,10,,,
9,bj,bj-1,,10,,,
10,bj,bj-2,,10,,,
11,bj,,1,,,,
12,kirk,,1,,,,
13,pelican,,0,,,,
14,pelican,,1,,,,
15,pelican,,1,,,,
16,pelican,,1,,,,
17,pelican,,1,,,,
18,pelican,,,,,,
19,pelican,,1,,,,
20,kirk,,300,,,,
21,pelican,,,,,,
22,bj,,900,,,,
23,bj,,900,,,,
24,bj,,900,,,,
25,resto,,,,teddys,,
26,place,,,,,,
27,place,,,,,,
28,coffee,,,,,,
29,coffee,,,,,,
30,place,,,,,,
31,bj,bj-2,,10,,,
32,bj,bj-2,,0,,,
33,bj,bj-2,,10,,,
34,bj,bj-2,,10,,,
35,bj,bj-2,,10,,,
36,bj,bj-3,2,0,,,
37,bj,,200,,,,
38,bj,,200,,,,
39,bj,,,,,,
40,bj,,300,,,,
41,bj,,300,,,,
42,x,,,,,,
43,vwind,,200,,,,
44,vwind,,200,,,,
45,vwind,vwind-1,,10,,,
46,vwind,vwind-1,,0,,,
47,vwind,vwind-1,,10,,,
48,vwind,vwind-1,,10,,,
49,vwind,,2,,,,
50,vwind,vwind-2,,0,,,
51,vwind,vwind-2,,10,,,
52,vwind,vwind-2,,10,,,
53,vwind,vwind-2,,10,,,
54,vwind,vwind-2,,10,,,
55,vwind,vwind-3,,10,,,
56,vwind,vwind-3,,0,,,
57,vwind,vwind-3,,10,,,
58,vwind,vwind-3,,10,,,
59,vwind,vwind-3,1,10,,,
60,vwind,,,,,,
61,vwind,,1,,,,
62,vwind,,1,,,,
63,vwind,,510,,sports,,
64,vwind,vwind-4,0,0,,,
65,vwind,vwind-4,,10,,,
66,vwind,vwind-4,,10,,,
67,vwind,vwind-4,,10,,,
68,vwind,vwind-4,,10,,,
69,vwind,vwind-4,,10,,,
70,vwind,,5,,massage,,
71,vwind,,3,,,,
72,vwind,,500,,sports,,
73,vwind,,500,,sports,,
74,vwind,,500,,sports,,
75,vp,vp-1,,10,,,
76,vp,vp-1,,10,,,
77,vp,vp-1,,10,,,
78,vp,vp-1,,10,,,
79,vp,vp-1,,0,,,
80,vp,vp-1,,10,,,
81,vp,,3,,,,
82,vp,,200,,,,
83,vp,,2,,,,
84,vp,,1,,,,
85,vp,,2,,,,
86,vp,,200,,,,
87,vp,,0,,,,
88,vp,,3,,,,
89,vp,,210,,,,
90,vp,vp-2,,10,,,
91,vp,vp-2,,0,,,
92,vp,vp-3,,10,,,
93,vp,vp-3,,0,,,
94,vp,vp-3,,20,,,
95,vp,vp-4,,10,,,
96,vp,vp-4,,20,,,
97,vp,vp-4,,10,,,
98,vp,vp-4,,10,,,
99,vp,vp-4,,10,,,
100,vp,vp-4,,0,,,
101,vp,vp-4,,10,,,
102,vp,vp-4,,10,,,
103,vp,vp-4,,10,,,
104,resto,,,,las-palmas,,
105,resto,,,,las-palmas,,
106,resto,,,,las-palmas,,
107,resto,,,,las-palmas,,
108,resto,,,,pizza,,
109,resto,,,,pizza,,
110,resto,,,,tonys,,
111,resto,,,,tonys,,
112,resto,,,,tonys,,
113,vwind,,,,,,
114,vbay,,5,,,,
115,vbay,,5,,,,
116,vbay,,1,,,,
117,vbay,,1,,,,
118,vbay,,3,,,,
119,vbay,vbay-6,,0,,,
120,vbay,vbay-6,,10,,,
121,vbay,vbay-6,,10,,,
122,vbay,vbay-6,,10,,,
123,vbay,vbay-5,1,0,,,
124,vbay,vbay-6,,10,,,
125,vbay,,210,,,,
126,vbay,,200,,,,
127,vbay,,200,,,,
128,vbay,vbay-2,,0,,,
129,vbay,vbay-2,,10,,,
130,vbay,vbay-2,,,,,
131,vbay,vbay-2,,10,,,
132,vbay,vbay-2,,10,,,
133,vbay,vbay-2,,10,,,
134,vbay,vbay-2,,10,,,
135,vbay,vbay-1,,10,,,
136,vbay,vbay-1,,10,,,
137,vbay,vbay-1,,10,,,
138,vbay,vbay-1,,10,,,
139,vbay,vbay-1,,20,,,
140,vbay,vbay-1,,20,,,
141,vbay,vbay-1,,20,,,
142,vbay,vbay-1,0,0,,,
143,vbay,vbay-1,,10,,,
144,vbay,vbay-1,,10,,,
145,vbay,vbay-1,0,10,,,
146,vbay,vbay-1,,15,,,
147,vbay,vbay-1,,20,,,
148,vbay,vbay-1,,10,,,
149,vbay,,0,,,,
150,vbay,,200,,,,
151,vbay,,510,,sports,,
152,vbay,,500,,sports,,
153,vbay,,500,,sports,,
154,dw,,9,,,,
155,dw,,1,,,,
156,dw,,1,,,,
157,dw,,1,,,,
158,dw,,0,,,,
159,dw,dw-1,5,0,,,
160,dw,,1,,,,
161,plp,,3,,,,
162,plp,,2,,,,
163,plp,,1,,,,
164,plp,plp-1,,10,,,
165,plp,plp-1,,10,,,
166,plp,plp-1,,0,,,
167,plp,plp-1,,10,,,
168,plp,,500,,sports,,
169,plp,,501,,sports,,
170,plp,plp-2,0,10,,,
171,plp,plp-2,,0,,,
172,plp,plp-2,,10,,,
173,plp,plp-2,,10,,,
174,plp,,200,,,,
175,plp,,1,,,,
176,plp,,201,,,,
177,plp,,202,,,,
178,plp,,210,,,,
179,plp,,500,,sports,,
180,plp,,220,,,,
181,plp,,,,,,
182,kirk,,,,,,
183,kirk,,500,,sports,,
184,kirk,,210,,,,
185,kirk,,200,,,,
186,kirk,,5,,,,
187,kirk,,1,,,,
188,kirk,,1,,,,
189,kirk,,,,,,
190,kirk,,5,,,,
191,kirk,kirk-casita,,10,,,
192,kirk,kirk-casita,,10,,,
193,kirk,kirk-casita,,10,,,
194,kirk,kirk-casita,,10,,,
195,kirk,kirk-casita,,10,,,
196,kirk,kirk-casita,,10,,,
197,kirk,kirk-casita,,10,,,
198,kirk,kirk-casita,,10,,,
199,kirk,kirk-4bd,,10,,,
200,kirk,kirk-casita,,,,,
201,kirk,kirk-casita,,,,,
202,kirk,kirk-casita,,10,,,
203,kirk,kirk-casita,,10,,,
204,kirk,kirk-4bd,,10,,,
205,kirk,kirk-4bd,,10,,,
206,kirk,kirk-4bd,,10,,,
207,kirk,kirk-4bd,,10,,,
208,kirk,kirk-4bd,,10,,,
209,kirk,kirk-4bd,,10,,,
210,kirk,kirk-4bd,,0,,,
211,kirk,kirk-4bd,,10,,,
212,kirk,kirk-4bd,,10,,,
213,kirk,kirk-4bd,,10,,,
214,kirk,kirk-4bd,,10,,,
215,kirk,kirk-4bd,,10,,,
216,kirk,kirk-4bd,,10,,,
217,kirk,kirk-4bd,,10,,,
218,kirk,kirk-4bd,,10,,,
219,kirk,kirk-4bd,,10,,,
220,kirk,kirk-4bd,,10,,,
221,kirk,kirk-4bd,,10,,,
222,kirk,kirk-casita,,10,,,
223,kirk,kirk-casita,,10,,,
224,kirk,kirk-2bd,1,0,,,
225,kirk,kirk-2bd,,10,,,
226,kirk,kirk-casita,,10,,,
227,kirk,kirk-casita,,10,,,
228,kirk,kirk-casita,,10,,,
229,kirk,kirk-casita,,10,,,
230,kirk,kirk-casita,,10,,,
231,kirk,kirk-casita,,10,,,
232,kirk,kirk-casita,,10,,,
233,kirk,kirk-casita,,10,,,
234,kirk,kirk-casita,,10,,,
235,kirk,kirk-1bd-1,,0,,,
236,kirk,kirk-1bd-1,,10,,,
237,kirk,kirk-cardon,,10,,,
238,kirk,kirk-cardon,,10,,,
239,kirk,kirk-cardon,,0,,,
240,kirk,kirk-casita,1,10,,,
241,kirk,kirk-casita,,10,,,
242,kirk,kirk-casita,,10,,,
243,kirk,kirk-casita,,10,,,
244,kirk,kirk-casita,,10,,,
245,kirk,kirk-casita,,10,,,
246,kirk,kirk-casita,,0,,,
247,kirk,,5,,,,
248,kirk,,,,,,
249,kirk,,,,,,
250,pelican,,1,,,,
251,pelican,,2,,,,
252,pelican,,,,,,
253,kirk,,600,,sports equip,,
254,kirk,,600,,sports,,
255,kirk,,600,,sports,,
256,kirk,,600,,sports,,
257,kirk,,600,,sports,,
258,kirk,,,,,,
259,kirk,,,,,,
260,pelican,,1,,,,
261,kirk,,550,,,,
262,kirk,,320,,,,
263,kirk,,0,,,,
264,pelican,,1,,,,
265,kirk,,510,,sports,,
266,kirk,,300,,,,
267,kirk,,550,,sports,,
268,kirk,,550,,sports,,
269,kirk,,510,,sports,,
270,kirk,,500,,sports,,
271,kirk,,502,,sports,,
272,kirk,,501,,sports,,
273,pelican,,2,,,,
274,pelican,,1,,,,
275,pelican,,5,,,,
276,pelican,,2,,,,
277,pelican,,1,,,,
278,pelican,,2,,,,
279,pelican,,1,,,,
280,pelican,pelican-villa,,0,,,
281,pelican,pelican-villa,,20,,,
282,pelican,pelican-villa,,10,,,
283,pelican,pelican-villa,,10,,,
284,pelican,pelican-villa,,30,,,
285,pelican,pelican-villa,,10,,,
286,pelican,pelican-villa,,30,,,
287,pelican,pelican-villa,,10,,,
288,pelican,pelican-villa,,10,,,
289,pelican,pelican-villa,,10,,,
290,pelican,pelican-villa,,20,,,
291,pelican,pelican-villa,,20,,,
292,pelican,,,,,,
293,kurt,,,,,,
294,kurt,,2,,,,
295,kurt,,200,,,,
296,kurt,,200,,,,
297,kurt,,200,,,,
298,kurt,,1,,,,
299,kurt,,0,,,,
300,kurt,kurt-1,,0,,,
301,kurt,kurt-1,,10,,,
302,kurt,kurt-1,,10,,,
303,kurt,kurt-2,,0,,,
304,kurt,kurt-2,,10,,,
305,kurt,,2,,,,
306,kurt,,1,,,,
307,kurt,,500,,,,
224-copy,kirk,kirk-1bd-2,,0,,,
temp-1,kirk,kirk-1bd-2,,10,,,