typeName,resortName,peakBeginDate1,peakEndDate1,peakPrice1,peakBeginDate2,peakEndDate2,peakPrice2,highBeginDate,highEndDate,highPrice,lowBeginDate,lowEndDate,lowPrice,promoBeginDate,promoEndDate,promoPrice
plp-1,plp,,,,,,,,,,,,120,,,
plp-2,plp,,,,,,,,,,,,155,,,
vbay-1,vbay,2016-11-21,2016-11-27,265.5,2016-12-20,2017-01-02,265.5,,,,,,225,,,
vbay-2,vbay,2016-11-21,2016-11-27,206.5,2016-12-20,2017-01-02,206.5,,,,,,175,,,
vbay-3,vbay,2016-11-21,2016-11-27,177,2016-12-20,2017-01-02,177,,,,,,150,,,
vbay-4,vbay,2016-11-21,2016-11-27,177,2016-12-20,2017-01-02,177,,,,,,150,,,
vbay-5,vbay,2016-11-21,2016-11-27,165.2,2016-12-20,2017-01-02,165.2,,,,,,140,,,
vbay-6,vbay,2016-11-21,2016-11-27,153.4,2016-12-20,2017-01-02,153.4,,,,,,130,,,
vbay-7,vbay,2016-11-21,2016-11-27,141.6,2016-12-20,2017-01-02,141.6,,,,,,120,,,
vbay-8,vbay,2016-11-21,2016-11-27,129.8,2016-12-20,2017-01-02,129.8,,,,,,110,,,
vp-1,vp,,,,,,,,,,,,,,,
vp-2,vp,,,,,,,,,,,,,,,
vp-3,vp,,,,,,,,,,,,,,,
vp-4,vp,,,,,,,,,,,,,,,
pelican-villa,pelican,,,,2016-12-19,2017-01-02,950,,,,,,750,,,
kirk-casita,kirk,2016-11-20,2016-11-26,160,2016-12-25,2017-01-01,160,2016-11-01,2017-04-14,125,2016-04-15,2016-10-31,80,,,
kirk-cardon,kirk,2016-11-20,2016-11-26,170,2016-12-25,2017-01-01,170,2016-11-01,2017-04-14,145,2016-04-15,2016-10-31,110,,,
kirk-1bd-1,kirk,2016-11-20,2016-11-26,200,2016-12-25,2017-01-01,200,2016-11-01,2017-04-14,170,2016-04-15,2016-10-31,120,,,
kirk-1bd-2,kirk,2016-11-20,2016-11-26,120,2016-12-25,2017-01-01,120,2016-11-01,2017-04-14,110,2016-04-15,2016-10-31,70,,,
kirk-2bd,kirk,2016-11-20,2016-11-26,315,2016-12-25,2017-01-01,315,2016-11-01,2017-04-14,250,2016-04-15,2016-10-31,180,,,
kirk-4bd,kirk,2016-11-20,2016-11-26,510,2016-12-25,2017-01-01,510,2016-11-01,2017-04-14,360,2016-04-15,2016-10-31,240,,,
bj-1,bj,2016-12-14,2017-01-15,115,,,,2016-10-15,2017-04-30,105,2016-05-01,2016-10-14,80,,,
bj-2,bj,2016-12-14,2017-01-15,105,,,,2016-10-15,2017-04-30,95,2016-05-01,2016-10-14,70,,,
bj-3,bj,2016-12-14,2017-01-15,85,,,,2016-10-15,2017-04-30,75,2016-05-01,2016-10-14,60,,,
bj-4,bj,2016-12-14,2017-01-15,50,,,,2016-10-15,2017-04-30,40,2016-05-01,2016-10-14,40,,,
dw-1,dw,2016-11-15,2016-12-15,42,,,,,,,,,42,2016-02-15,2016-03-15,42
kirt-1,kirt,,,,,,,,,,,,65,,,
kirt-2,kirt,,,,,,,,,,,,75,,,
vwind-1,vwind,,,,,,,,,,,,,,,
vwind-2,vwind,,,,,,,,,,,,,,,
vwind-3,vwind,,,,,,,,,,,,,,,
vwind-4,vwind,,,,,,,,,,,,,,,