typeName,resortName,displayName,type,maxCapacity,bedSetup,numBedroom,numBathroom,kitchen,kitchenette,privateBath,ac,patio,seaview,profilePhoto,photos
plp-1,plp,Bungalow,ROOM,2,1 Queen,,,,,N,Y,Y,Y,,
plp-2,plp,Superior Bungalow,ROOM,3,"1 King and 1 Twin, or 3 Twins",,,,,Y,Y,Y,Y,,
vbay-1,vbay,Classic Beach Front Room,ROOM,2,1 Queen,,,,,Y,Y,Y,Y,,
vbay-1-sup,vbay,Superior Beachfront Room,ROOM,2,1 King,,,,,Y,Y,Y,Y,,
vbay-2,vbay,Ocean View Bungalow,ROOM,2,1 Queen,,,,,Y,Y,Y,Y,,
vbay-3,vbay,Ocean View Villa,ROOM,2,1 Queen,,,,,Y,Y,Y,Y,,
vp-1,vp,Double Room 1,ROOM,2,1 bed,,,,,Y,Y,,Y,,
vp-2,vp,Double Room 2,ROOM,2,2 Double,,,,,Y,Y,,Y,,
vp-3,vp,Double Room 3,ROOM,2,2 Double,,,,,Y,Y,,Y,,
vp-4,vp,Double Room 4,ROOM,2,2 Double,,,,,Y,Y,,Y,,
pelican-villa,pelican,Pelican Reef Villa,CASA,8,"1 King, 1 Queen, 1 King/2 Twins, 2 Twins",4,4,Y,,Y,Y,Y,Y,,
kirk-casita,kirk,Casita (Stand-Alone Studio),CASITA,2,1 King/Queen or 2 Twins,0,1,,Y,Y,Y,Y,Y,,
kirk-cardon,kirk,Casa Cardon (Stand-Alone Studio),CASA,2,1 King/Queen or 2 Twins,0,1,Y,,Y,Y,Y,Y,,
kirk-1bd-bv,kirk,1 Bedroom Casa Buena Vista,CASA,2,1 King or 2 Twins,1,1,Y,,Y,Y,Y,Y,,
kirk-1bd-palmas,kirk,1 Bedroom Casa de las Palmas,CASA,2,1 King or 2 Twins,1,1,Y,,Y,Y,Y,Y,,
kirk-2bd,kirk,2 Bedroom Casa,CASA,4,2 King or 1 King / 2 Twins or 4 Twins,2,,Y,,Y,Y,Y,Y,,
kirk-4bd,kirk,4 Bedroom Casa Alta Mar,CASA,8,"1 King,1 Queen,1 Full Bed and Full Futon, King or 2 Twin",4,,Y,,Y,Y,Y,Y,,
bj-1,bj,Room 1 & 7 ,ROOM,2,2 beds,,,,,Y,,Y,Y,,
bj-2,bj,Room 2 3 4 5 6 ,ROOM,3,3 beds,,,,,Y,,,,,
bj-standard,bj,Standard Room,ROOM,2,2 beds,,,,,Y,,,,,
bj-bunk,bj,Bunk Room,ROOM,2,2 beds,,,,,N,,,,,
dw-rm,dw,Room,ROOM,2,1 Queen or 2 Twins,,,,,Y,,,,,
kirt-1,kirt,Room ,ROOM,2,1 Queen or King,,,,,,,,,,
kirt-2,kirt,Room,ROOM,2,1 Queen or King,,,,,Y,,,,,
vwind-1,vwind,Cabana,,,,,,,,,,,,,
vwind-2,vwind,Cabana,,,,,,,,,,,,,
vwind-3,vwind,Cabana,,,,,,,,,,,,,
vwind-4,vwind,Cabana,,,,,,,,,,,,,